season,competition,round,date,time,home,away,home_score,away_score,penalties,venue_side,attendance,report_url,match_id
2009-10,Ligue 1,4,sam. 29/08/2009,21:00,Lyon,AS Nancy,3,1,non,D,34.193,/spielbericht/index/spielbericht/958383,958383
2009-10,Ligue 1,5,sam. 12/09/2009,19:00,Lyon,FC Lorient,1,0,non,D,36.600,/spielbericht/index/spielbericht/958390,958390
2009-10,UEFA Champions League,Phase de groupe,mer. 16/09/2009,20:45,Lyon,Fiorentina,1,0,non,D,37.169,/spielbericht/index/spielbericht/971907,971907
2009-10,Ligue 1,6,dim. 20/09/2009,21:00,PSG,Lyon,1,1,non,E,44.778,/spielbericht/index/spielbericht/958401,958401
2009-10,Ligue 1,7,sam. 26/09/2009,21:00,Lyon,Toulouse,2,1,non,D,34.031,/spielbericht/index/spielbericht/958414,958414
2009-10,UEFA Champions League,Phase de groupe,mar. 29/09/2009,20:45,Debrecen,Lyon,0,4,non,E,41.597,/spielbericht/index/spielbericht/971909,971909
2009-10,Ligue 1,8,sam. 03/10/2009,21:00,RC Lens,Lyon,0,2,non,E,39.423,/spielbericht/index/spielbericht/958418,958418
2009-10,Ligue 1,9,sam. 17/10/2009,19:00,Lyon,FC Sochaux,0,2,non,D,36.489,/spielbericht/index/spielbericht/958431,958431
2009-10,UEFA Champions League,Phase de groupe,mar. 20/10/2009,20:45,Liverpool,Lyon,1,2,non,E,41.562,/spielbericht/index/spielbericht/971911,971911
2009-10,Ligue 1,10,sam. 24/10/2009,19:00,OGC Nice,Lyon,4,1,non,E,10.793,/spielbericht/index/spielbericht/958444,958444
2009-10,Ligue 1,12,sam. 31/10/2009,21:00,Saint-Étienne,Lyon,0,1,non,E,34.342,/spielbericht/index/spielbericht/958466,958466
2009-10,UEFA Champions League,Phase de groupe,mer. 04/11/2009,20:45,Lyon,Liverpool,1,1,non,D,39.180,/spielbericht/index/spielbericht/971913,971913
2009-10,Ligue 1,13,dim. 08/11/2009,21:00,Lyon,Marseille,5,5,non,D,38.018,/spielbericht/index/spielbericht/958469,958469
2009-10,Ligue 1,14,sam. 21/11/2009,19:00,Grenoble,Lyon,1,1,non,E,15.563,/spielbericht/index/spielbericht/958484,958484
2009-10,UEFA Champions League,Phase de groupe,mar. 24/11/2009,20:45,Fiorentina,Lyon,1,0,non,E,34.301,/spielbericht/index/spielbericht/971915,971915
2009-10,Ligue 1,15,dim. 29/11/2009,21:00,Lyon,Stade Rennais,1,1,non,D,35.978,/spielbericht/index/spielbericht/958494,958494
2009-10,Ligue 1,16,dim. 06/12/2009,21:00,LOSC Lille,Lyon,4,3,non,E,14.206,/spielbericht/index/spielbericht/958499,958499
2009-10,UEFA Champions League,Phase de groupe,mer. 09/12/2009,20:45,Lyon,Debrecen,4,0,non,D,36.884,/spielbericht/index/spielbericht/971917,971917
2009-10,Ligue 1,17,dim. 13/12/2009,21:00,Lyon,G. Bordeaux,0,1,non,D,36.887,/spielbericht/index/spielbericht/958509,958509
2009-10,Ligue 1,11,mer. 16/12/2009,19:00,Lyon,US Boulogne,2,0,non,D,37.512,/spielbericht/index/spielbericht/958453,958453
2009-10,Ligue 1,18,dim. 20/12/2009,21:00,Monaco,Lyon,1,1,non,E,10.620,/spielbericht/index/spielbericht/958522,958522
2009-10,Ligue 1,19,mer. 23/12/2009,19:00,Lyon,Montpellier,1,2,non,D,37.963,/spielbericht/index/spielbericht/958533,958533
2009-10,Coupe de France,5e tour,sam. 09/01/2010,20:45,R. Strasbourg,Lyon,1,3,non,E,,/spielbericht/index/spielbericht/989884,989884
2009-10,Coupe de la Ligue,Huitièmes de finale,mer. 13/01/2010,18:45,Lyon,FC Metz,3,0,non,D,20.010,/spielbericht/index/spielbericht/974359,974359
2009-10,Ligue 1,20,sam. 16/01/2010,21:00,AS Nancy,Lyon,0,2,non,E,16.097,/spielbericht/index/spielbericht/958546,958546
2009-10,Ligue 1,21,mer. 20/01/2010,19:00,FC Lorient,Lyon,1,3,non,E,15.790,/spielbericht/index/spielbericht/958554,958554
