match_id,season,competition,date,home,away,running_score,scoring_team,scorer,assist,detail
3394765,2020-21,Ligue 1,dim. 24/01/2021,Saint-Étienne,Lyon,0:2,Olympique Lyonnais,Marcelo,Léo Dubois,"Marcelo , Tête, 1. But de la saison Passe décisive: Léo Dubois , Centre, 3. Passe décisive de la saison"
3394765,2020-21,Ligue 1,dim. 24/01/2021,Saint-Étienne,Lyon,0:3,Olympique Lyonnais,Marcelo,Léo Dubois,"Marcelo , Tête, 2. But de la saison Passe décisive: Léo Dubois , Centre, 4. Passe décisive de la saison"
3394765,2020-21,Ligue 1,dim. 24/01/2021,Saint-Étienne,Lyon,0:4,Olympique Lyonnais,Tino Kadewere,Memphis Depay,"Tino Kadewere , Tir du pied gauche, 9. But de la saison Passe décisive: Memphis Depay , Passe, 6. Passe décisive de la saison"
3394765,2020-21,Ligue 1,dim. 24/01/2021,Saint-Étienne,Lyon,0:5,Olympique Lyonnais,Denis Bouanga,,"Denis Bouanga , Contre-son-camp"
3394776,2020-21,Ligue 1,ven. 29/01/2021,Lyon,G. Bordeaux,1:0,Olympique Lyonnais,Karl Toko Ekambi,,"Karl Toko Ekambi , Tir du pied droit, 10. But de la saison"
3394776,2020-21,Ligue 1,ven. 29/01/2021,Lyon,G. Bordeaux,1:1,FC Girondins de Bordeaux,Samuel Kalu,Rémi Oudin,"Samuel Kalu , Tir du pied gauche, 3. But de la saison Passe décisive: Rémi Oudin , Passe, 3. Passe décisive de la saison"
3394776,2020-21,Ligue 1,ven. 29/01/2021,Lyon,G. Bordeaux,2:1,Olympique Lyonnais,Léo Dubois,Maxwel Cornet,"Léo Dubois , Tir du pied droit, 2. But de la saison Passe décisive: Maxwel Cornet , Centre, 6. Passe décisive de la saison"
3394790,2020-21,Ligue 1,mer. 03/02/2021,Dijon,Lyon,0:1,Olympique Lyonnais,Lucas Paquetá,Karl Toko Ekambi,"Lucas Paquetá , Tir du pied gauche, 2. But de la saison Passe décisive: Karl Toko Ekambi , Passe, 6. Passe décisive de la saison"
3394797,2020-21,Ligue 1,sam. 06/02/2021,Lyon,R. Strasbourg,1:0,Olympique Lyonnais,Memphis Depay,,"Memphis Depay , Tir du pied droit, 12. But de la saison"
3394797,2020-21,Ligue 1,sam. 06/02/2021,Lyon,R. Strasbourg,2:0,Olympique Lyonnais,Karl Toko Ekambi,Thiago Mendes,"Karl Toko Ekambi , Tir du pied droit, 11. But de la saison Passe décisive: Thiago Mendes , Passe, 1. Passe décisive de la saison"
3394797,2020-21,Ligue 1,sam. 06/02/2021,Lyon,R. Strasbourg,3:0,Olympique Lyonnais,Memphis Depay,,"Memphis Depay , Coup-franc direct, 13. But de la saison"
3530095,2020-21,Coupe de France,mar. 09/02/2021,Lyon,AC Ajaccio,1:0,Olympique Lyonnais,Memphis Depay,Islam Slimani,"Memphis Depay , 1. But dans le tournoi Passe décisive: Islam Slimani , 1. Passe déc. du tournoi"
3530095,2020-21,Coupe de France,mar. 09/02/2021,Lyon,AC Ajaccio,2:0,Olympique Lyonnais,Islam Slimani,Mattia De Sciglio,"Islam Slimani , 1. But dans le tournoi Passe décisive: Mattia De Sciglio , 1. Passe déc. du tournoi"
3530095,2020-21,Coupe de France,mar. 09/02/2021,Lyon,AC Ajaccio,3:0,Olympique Lyonnais,Maxwel Cornet,Bruno Guimarães,"Maxwel Cornet , 1. But dans le tournoi Passe décisive: Bruno Guimarães , 1. Passe déc. du tournoi"
3530095,2020-21,Coupe de France,mar. 09/02/2021,Lyon,AC Ajaccio,4:0,Olympique Lyonnais,Rayan Cherki,Islam Slimani,"Rayan Cherki , 1. But dans le tournoi Passe décisive: Islam Slimani , 2. Passe déc. du tournoi"
3530095,2020-21,Coupe de France,mar. 09/02/2021,Lyon,AC Ajaccio,5:0,Olympique Lyonnais,Houssem Aouar,,"Houssem Aouar , Penalty, 1. But dans le tournoi"
3530095,2020-21,Coupe de France,mar. 09/02/2021,Lyon,AC Ajaccio,5:1,AC Ajaccio,Riad Nouri,,"Riad Nouri , Penalty, 1. But dans le tournoi"
3394807,2020-21,Ligue 1,sam. 13/02/2021,Lyon,Montpellier,0:1,Montpellier Hérault SC,Téji Savanier,Andy Delort,"Téji Savanier , Tête, 5. But de la saison Passe décisive: Andy Delort , Centre, 8. Passe décisive de la saison"
3394807,2020-21,Ligue 1,sam. 13/02/2021,Lyon,Montpellier,1:1,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , Tir du pied gauche, 3. But de la saison"
3394807,2020-21,Ligue 1,sam. 13/02/2021,Lyon,Montpellier,1:2,Montpellier Hérault SC,Elye Wahi,,"Elye Wahi , Tir du pied droit, 3. But de la saison"
3394823,2020-21,Ligue 1,ven. 19/02/2021,Stade Brestois,Lyon,0:1,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , Tir du pied gauche, 4. But de la saison"
3394823,2020-21,Ligue 1,ven. 19/02/2021,Stade Brestois,Lyon,0:2,Olympique Lyonnais,Houssem Aouar,Memphis Depay,"Houssem Aouar , Tir du pied droit, 4. But de la saison Passe décisive: Memphis Depay , Passe, 7. Passe décisive de la saison"
3394823,2020-21,Ligue 1,ven. 19/02/2021,Stade Brestois,Lyon,0:3,Olympique Lyonnais,Memphis Depay,Memphis Depay,"Memphis Depay , Penalty, 14. But de la saison Passe décisive: Memphis Depay , Pénalty: faute subie"
3394823,2020-21,Ligue 1,ven. 19/02/2021,Stade Brestois,Lyon,1:3,Stade Brestois 29,Brendan Chardonnet,Franck Honorat,"Brendan Chardonnet , Tête, 2. But de la saison Passe décisive: Franck Honorat , Corner, 4. Passe décisive de la saison"
3394823,2020-21,Ligue 1,ven. 19/02/2021,Stade Brestois,Lyon,2:3,Stade Brestois 29,Irvin Cardona,Brendan Chardonnet,"Irvin Cardona , Tir du pied droit, 7. But de la saison Passe décisive: Brendan Chardonnet , Passe, 1. Passe décisive de la saison"
3394839,2020-21,Ligue 1,dim. 28/02/2021,Marseille,Lyon,0:1,Olympique Lyonnais,Karl Toko Ekambi,Lucas Paquetá,"Karl Toko Ekambi , Tir du pied droit, 12. But de la saison Passe décisive: Lucas Paquetá , Passe, 2. Passe décisive de la saison"
