match_id,side,minute,player_in,player_out,reason
4805907,ol,84,Orel Mangala,Tyler Morton,Tactique
4805907,ol,84,Tanner Tessmann,Steeve Kango,Tactique
4805907,ol,84,Adil Hamdani,Noah Nartey,Tactique
4805907,adv,1,Hugo Sotelo,Ilaix Moriba,Tactique
4635225,ol,57,Corentin Tolisso,Khalis Merah,Tactique
4635225,ol,57,Roman Yaremchuk,Nicolás Tagliafico,Tactique
4635225,ol,64,Noah Nartey,Tanner Tessmann,Tactique
4635225,ol,64,Endrick,Adam Karabec,Tactique
4635225,adv,72,Ciro Immobile,Jonathan Ikoné,Tactique
4635225,adv,72,Alimami Gory,Moses Simon,Tactique
4635225,adv,72,Luca Koleosho,Jean-Philippe Krasso,Tactique
4635225,ol,81,Adil Hamdani,Rémi Himbert,Tactique
4635225,adv,86,Vincent Marchetti,Rudy Matondo,Blessure
4635225,adv,1,Tuomas Ollila,Marshall Munetsi,Blessure
4818818,ol,58,Rémi Himbert,Nicolás Tagliafico,Tactique
4818818,ol,68,Hans Hateboer,Ainsley Maitland-Niles,Blessure
4818818,adv,77,Amadou Haidara,Odsonne Édouard,Tactique
4818818,ol,86,Adam Karabec,Noah Nartey,Tactique
4818818,adv,6,Rayan Fofana,Abdallah Sima,Tactique
4635221,adv,45,Igor Paixão,Quinten Timber,Tactique
4635221,ol,59,Rémi Himbert,Roman Yaremchuk,Tactique
4635221,adv,62,Ethan Nwaneri,Hamed Traoré,Tactique
4635221,adv,83,Benjamin Pavard,Timothy Weah,Tactique
4635221,adv,84,Himad Abdelli,Geoffrey Kondogbia,Tactique
4635221,ol,87,Abner,Nicolás Tagliafico,Blessure
4635221,adv,4,Tochukwu Nnadi,Mason Greenwood,Tactique
4635204,ol,27,Noah Nartey,Pavel Sulc,Blessure
4635204,ol,57,Roman Yaremchuk,Tanner Tessmann,Tactique
4635204,ol,82,Rémi Himbert,Corentin Tolisso,Tactique
4635204,adv,84,Abdoul Ouattara,Julio Enciso,Tactique
4635204,ol,84,Nicolás Tagliafico,Ruben Kluivert,Tactique
4635204,adv,89,Samuel Amo-Ameyaw,Diego Moreira,Tactique
4635204,adv,89,Aarón Anselmino,Andrew Omobamidele,Tactique
4635204,adv,9,Gessime Yassine,Samuel Amo-Ameyaw,Blessure
4635195,adv,5,Kaïl Boudache,Elye Wahi,Blessure
4635195,ol,65,Khalis Merah,Corentin Tolisso,Tactique
4635195,adv,73,Kevin Carlos,Mohamed-Ali Cho,Tactique
4635195,adv,74,Hicham Boudaoui,Tom Louchet,Tactique
4635195,adv,74,Juma Bah,Dante,Tactique
4635195,ol,80,Roman Yaremchuk,Pavel Sulc,Tactique
4635195,adv,82,Isak Jansson,Morgan Sanson,Tactique
4635195,ol,1,Noham Kamara,Ainsley Maitland-Niles,Tactique
4635191,adv,45,Youssef El Arabi,Mostafa Mohamed,Tactique
4635191,adv,62,Deiver Machado,Dehmaine Tabibou,Tactique
4635191,adv,70,Francis Coquelin,Kelvin Amian,Tactique
4635191,adv,70,Abakar Sylla,Nicolas Cozza,Tactique
4635191,ol,85,Hans Hateboer,Afonso Moreira,Blessure
4635191,adv,87,Herba Guirassy,Mohamed Kaba,Tactique
4635191,ol,4,Khalis Merah,Pavel Sulc,Tactique
4803951,ol,62,Afonso Moreira,Adam Karabec,Tactique
4803951,ol,62,Rémi Himbert,Noah Nartey,Tactique
4803951,adv,63,Eros Maddy,Dylan Mbayo,Tactique
4803951,adv,63,Malik Sellouki,Christ-Owen Kouassi,Tactique
4803951,adv,74,Malik Tchokounté,Mamadou Camara,Tactique
4803951,ol,78,Ainsley Maitland-Niles,Khalis Merah,Tactique
4803951,ol,78,Tanner Tessmann,Tyler Morton,Tactique
4803951,ol,78,Adil Hamdani,Hans Hateboer,Tactique
4803951,adv,83,William Benard,Cyril Mandouki,Tactique
4803951,adv,83,Mathys Houdayer,Sam Sanna,Tactique
4635178,adv,67,Olivier Giroud,Félix Correia,Tactique
4635178,adv,67,Marius Broholm,Ngal'ayel Mukau,Tactique
4635178,adv,77,Calvin Verdonk,Romain Perraud,Tactique
4635178,ol,81,Rémi Himbert,Pavel Sulc,Tactique
4635178,adv,84,Soriba Diaoune,Tiago Santos,Tactique
4635178,ol,1,Hans Hateboer,Abner,Tactique
4635178,ol,1,Adam Karabec,Endrick,Tactique
4715964,ol,45,Tanner Tessmann,Tyler Morton,
4715964,ol,68,Abner,Ruben Kluivert,
4715964,ol,68,Tiago Gonçalves,Khalis Merah,
4715964,adv,83,Kiril Despodov,Taison,
4715964,ol,86,Alejandro Gomes Rodríguez,Afonso Moreira,
4715964,ol,86,Adil Hamdani,Mathys de Carvalho,
4715964,adv,86,Anestis Mythou,Georgios Giakoumakis,
4715964,adv,1,Mady Camara,Magomed Ozdoev,
4635173,ol,45,Moussa Niakhaté,Corentin Tolisso,Tactique
4635173,adv,61,Benjamin Stambouli,Alpha Touré,Tactique
4635173,adv,61,Michel Mboula,Terry Yegbe,Tactique
4635173,adv,61,Believe Munongo,Jessy Deminguet,Tactique
4635173,ol,73,Mathys de Carvalho,Khalis Merah,Tactique
4635173,adv,77,Giorgi Abuashvili,Maxime Colin,Tactique
4635173,adv,87,Ibou Sané,Gauthier Hein,Tactique
4635173,ol,2,Rémi Himbert,Afonso Moreira,Tactique
4635173,ol,2,Adil Hamdani,Endrick,Tactique
4715988,ol,45,Orel Mangala,Nicolás Tagliafico,Tactique
4715988,adv,70,Christian Fassnacht,Darian Males,Tactique
4715988,adv,70,Joël Monteiro,Alvyn Sanches,Tactique
4715988,ol,75,Corentin Tolisso,Afonso Moreira,Tactique
4715988,ol,76,Rémi Himbert,Khalis Merah,Tactique
4715988,adv,79,Armin Gigovic,Edimilson Fernandes,Tactique
4715988,adv,79,Chris Bedia,Alan Virginius,Tactique
4715988,adv,79,Ryan Andrews,Saidy Janko,Tactique
4715988,ol,1,Tiago Gonçalves,Pavel Sulc,Tactique
4715988,ol,1,Mathys de Carvalho,Tyler Morton,Tactique
4635161,adv,56,Pathé Mboup,Rémy Labeau Lascary,Tactique
4635161,adv,68,Daouda Guindo,Ludovic Ajorque,Tactique
4635161,adv,68,Kamory Doumbia,Lucas Tousart,Tactique
4635161,ol,73,Orel Mangala,Tanner Tessmann,Tactique
4635161,ol,73,Khalis Merah,Ainsley Maitland-Niles,Tactique
4635161,adv,80,Junior Dina Ebimbe,Bradley Locko,Tactique
4635161,adv,80,Luck Zogbé,Kenny Lala,Tactique
4635161,ol,88,Adam Karabec,Endrick,Tactique
4635161,ol,89,Hans Hateboer,Abner,Blessure
4635161,ol,89,Rémi Himbert,Afonso Moreira,Tactique
4788533,adv,58,Ethan Mbappé,Félix Correia,Tactique
4788533,adv,59,Ngal'ayel Mukau,Benjamin André,Blessure
4788533,adv,67,Tiago Santos,Thomas Meunier,Tactique
4788533,ol,71,Adam Karabec,Endrick,Tactique
4788533,adv,80,Soriba Diaoune,Olivier Giroud,Tactique
4788533,ol,81,Orel Mangala,Tyler Morton,Tactique
4788533,ol,81,Martín Satriano,Pavel Sulc,Tactique
4788533,adv,81,Osame Sahraoui,Ayyoub Bouaddi,Tactique
4635152,adv,11,Philipp Köhn,Lukas Hradecky,Blessure
4635152,adv,35,Kassoum Ouattara,Christian Mawissa,Blessure
4635152,ol,65,Tanner Tessmann,Khalis Merah,Tactique
4635152,adv,76,Stanis Idumbo,Aleksandr Golovin,Tactique
4635152,adv,76,George Ilenikhena,Mika Biereth,Tactique
4635152,ol,80,Orel Mangala,Abner,Tactique
4635152,ol,80,Adam Karabec,Pavel Sulc,Tactique
4635152,ol,2,Martín Satriano,Corentin Tolisso,Tactique
4778381,ol,45,Pavel Sulc,Mathys de Carvalho,Tactique
4778381,adv,60,Sébastien Ndisani,Lyvann Obissa,Tactique
4778381,ol,65,Rachid Ghezzal,Adam Karabec,Tactique
4778381,ol,65,Alejandro Gomes Rodríguez,Martín Satriano,Tactique
4778381,adv,68,Haikel Touitou,Junior Mombouly,Tactique
4778381,ol,77,Orel Mangala,Khalis Merah,Tactique
4778381,ol,77,Tanner Tessmann,Tyler Morton,Tactique
4778381,adv,85,Josué Alexis,Foudil Bakhtia,Tactique
4778381,adv,85,Abdessami Neffati,Arnaud Braillon,Tactique
4635145,adv,62,Godson Kyeremeh,Yassine Kechta,Tactique
4635145,adv,62,Fodé Doucouré,Loïc Nego,Tactique
4635145,ol,72,Adam Karabec,Martín Satriano,Tactique
4635145,ol,72,Mathys de Carvalho,Khalis Merah,Tactique
4635145,adv,77,Kenny Quetant,Younes Namli,Tactique
4635145,adv,77,Noam Obougou,Mbwana Samatta,Tactique
4635145,ol,84,Ruben Kluivert,Hans Hateboer,Tactique
4635145,ol,88,Rachid Ghezzal,Pavel Sulc,Tactique
4715966,adv,59,Victor Edvardsen,Kenzo Goudmijn,Tactique
4715966,adv,59,Jakob Breum,Aske Adelgaard,Tactique
4715966,adv,68,Calvin Twigt,Evert Linthorst,Tactique
4715966,ol,75,Mathys de Carvalho,Khalis Merah,Tactique
4715966,adv,79,Finn Stokkers,Giovanni van Zwam,Tactique
4715966,ol,85,Abner,Martín Satriano,Tactique
4715966,ol,3,Alejandro Gomes Rodríguez,Corentin Tolisso,Tactique
4715966,ol,4,Adam Karabec,Afonso Moreira,Tactique
4635138,ol,45,Hans Hateboer,Mathys de Carvalho,Tactique
4635138,ol,69,Afonso Moreira,Nicolás Tagliafico,Tactique
4635138,adv,70,Bamba Dieng,Sambou Soumano,Tactique
4635138,adv,70,Dermane Karim,Pablo Pagis,Tactique
4635138,adv,77,Noah Cadiou,Jean-Victor Makengo,Tactique
4635138,adv,1,Joel Mvuka,Théo Le Bris,Tactique
4635138,adv,1,Aiyegun Tosin,Laurent Abergel,Tactique
4635123,adv,57,Herba Guirassy,Mayckel Lahdo,Tactique
4635123,adv,58,Bahmed Deuff,Youssef El Arabi,Tactique
4635123,ol,71,Afonso Moreira,Mathys de Carvalho,Tactique
4635123,ol,71,Ainsley Maitland-Niles,Hans Hateboer,Tactique
4635123,adv,77,Uros Radakovic,Hyeok-kyu Kwon,Tactique
4635123,ol,84,Adam Karabec,Martín Satriano,Tactique
4635123,ol,84,Orel Mangala,Tyler Morton,Tactique
4635123,adv,88,Mostafa Mohamed,Tylel Tati,Tactique
4635123,adv,88,Fabien Centonze,Johann Lepenant,Tactique
4635123,ol,89,Khalis Merah,Tanner Tessmann,Blessure
4715984,adv,29,Sagiv Jehezkel,Hélio Varela,Blessure
4715984,adv,45,Itamar Noy,Ben Lederman,Tactique
4715984,adv,56,Ion Nicolaescu,Osher Davida,Tactique
4715984,adv,56,Noam Ben Harush,Roy Revivo,Tactique
4715984,ol,57,Adam Karabec,Pavel Sulc,Tactique
4715984,ol,57,Khalis Merah,Corentin Tolisso,Tactique
4715984,ol,68,Tiago Gonçalves,Ainsley Maitland-Niles,Tactique
4715984,ol,68,Téo Barišić,Abner,Tactique
4715984,adv,73,Kervin Andrade,Dor Peretz,Tactique
4715984,ol,76,Alejandro Gomes Rodríguez,Martín Satriano,Tactique
4635120,ol,45,Pavel Sulc,Khalis Merah,Tactique
4635120,ol,62,Mathys de Carvalho,Clinton Mata,Blessure
4635120,adv,71,Josué Casimir,Sékou Mara,Tactique
4635120,adv,83,Fredrik Oppegård,Gideon Mensah,Tactique
4635120,ol,84,Adil Hamdani,Adam Karabec,Tactique
4635120,adv,88,Assane Dioussé,Oussama El Azzouzi,Tactique
4635120,adv,88,Ibrahim Osman,Lassine Sinayoko,Tactique
4635106,ol,63,Adam Karabec,Rachid Ghezzal,Tactique
4635106,adv,66,Quentin Ndjantou,Senny Mayulu,Tactique
4635106,adv,73,Gonçalo Ramos,Khvicha Kvaratskhelia,Tactique
4635106,adv,73,Ibrahim Mbaye,Fabián Ruiz,Tactique
4635106,adv,73,Marquinhos,Lucas Hernández,Tactique
4635106,ol,77,Corentin Tolisso,Khalis Merah,Tactique
4715940,ol,45,Afonso Moreira,Enzo Molebe,Tactique
4715940,ol,45,Nicolás Tagliafico,Abner,Tactique
4715940,ol,64,Pavel Sulc,Khalis Merah,Tactique
4715940,ol,64,Tyler Morton,Tanner Tessmann,Tactique
4715940,adv,64,Sergi Altimira,Giovani Lo Celso,Tactique
4715940,adv,77,Nelson Deossa,Pablo Fornals,Blessure
4715940,adv,77,Chimy Ávila,Cédric Bakambu,Tactique
4715940,ol,83,Clinton Mata,Ainsley Maitland-Niles,Tactique
4715940,adv,86,Rodrigo Riquelme,Abde Ezzalzouli,Tactique
4715940,adv,86,Pablo García,Antony,Tactique
4635101,ol,14,Ainsley Maitland-Niles,Tanner Tessmann,Tactique
4635101,adv,70,Hugo Magnetti,Lucas Tousart,Tactique
4635101,adv,71,Rémy Labeau Lascary,Mama Baldé,Tactique
4635101,ol,75,Rachid Ghezzal,Martín Satriano,Tactique
4635101,adv,81,Junior Dina Ebimbe,Pathé Mboup,Tactique
4635101,ol,83,Mathys de Carvalho,Corentin Tolisso,Tactique
4635091,adv,22,Moses Simon,Jonathan Ikoné,Blessure
4635091,ol,67,Nicolás Tagliafico,Adam Karabec,Tactique
4635091,ol,67,Tanner Tessmann,Corentin Tolisso,Tactique
4635091,adv,70,Jean-Philippe Krasso,Willem Geubbels,Tactique
4635091,adv,70,Tuomas Ollila,Adama Camara,Tactique
4635091,ol,73,Hans Hateboer,Afonso Moreira,Tactique
4635091,adv,81,Vincent Marchetti,Pierre Lees-Melou,Tactique
4635091,ol,84,Martín Satriano,Pavel Sulc,Tactique
4635078,ol,67,Afonso Moreira,Malick Fofana,Blessure
4635078,adv,76,Andrew Omobamidele,Samir El Mourabet,Tactique
4635078,adv,76,Félix Lemaréchal,Julio Enciso,Tactique
4635078,ol,76,Rachid Ghezzal,Adam Karabec,Tactique
4635078,ol,76,Martín Satriano,Pavel Sulc,Tactique
4635078,adv,1,Martial Godo,Diego Moreira,Tactique
4635078,adv,3,Kendry Páez,Lucas Høgsberg,Tactique
4635078,ol,7,Mathys de Carvalho,Tanner Tessmann,Tactique
4715965,ol,45,Tyler Morton,Tanner Tessmann,Tactique
4715965,adv,45,Koba Koindredi,Metinho,Tactique
4715965,adv,45,Kevin Rüegg,Nicolas Vouilloz,Tactique
4715965,adv,60,Ibrahim Salah,Philip Otele,Tactique
4715965,ol,71,Ruben Kluivert,Ainsley Maitland-Niles,Tactique
4715965,ol,71,Adam Karabec,Malick Fofana,Tactique
4715965,adv,71,Bénie Traoré,Marin Soticek,Tactique
4715965,ol,78,Pavel Sulc,Corentin Tolisso,Tactique
4715965,ol,78,Afonso Moreira,Khalis Merah,Tactique
4715965,adv,83,Moritz Broschinski,Xherdan Shaqiri,Tactique
4635070,adv,65,Juma Bah,Dante,Tactique
4635070,ol,67,Rachid Ghezzal,Adam Karabec,Tactique
4635070,ol,67,Nicolás Tagliafico,Abner,Tactique
4635070,adv,72,Morgan Sanson,Sofiane Diop,Blessure
4635070,adv,72,Tiago Gouveia,Jérémie Boga,Tactique
4635070,adv,72,Tom Louchet,Mohamed-Ali Cho,Tactique
4635070,ol,76,Moussa Niakhaté,Clinton Mata,Tactique
4635070,ol,76,Tanner Tessmann,Tyler Morton,Tactique
4635070,ol,76,Afonso Moreira,Malick Fofana,Tactique
4635062,adv,45,Abu Francis,Mario Sauer,Tactique
4635062,adv,45,Dayann Méthalie,Warren Kamanzi,Tactique
4635062,adv,70,Emersonn,Frank Magri,Tactique
4635062,adv,77,Santiago Hidalgo,Djibril Sidibé,Tactique
4635062,adv,77,Alexis Vossah,Cristian Cásseres Jr.,Tactique
4635062,ol,77,Afonso Moreira,Adam Karabec,Tactique
